;CO2e;water_L;Bonus_euros
Aircon/dehumidifier;[239];['TBD', 'TBD'];25
Battery/charger/adapter;['TBD', 'TBD'];['TBD', 'TBD'];
Coffee maker;[22.5,47.6];['TBD', 'TBD'];15 à 25
DSLR/video camera;[22,30.6];['TBD', 'TBD'];20
Decorative or safety lights;['TBD', 'TBD'];['TBD', 'TBD'];
Desktop computer;[169, 481];[6000];50
Digital compact camera;[22,30.6];['TBD', 'TBD'];20
Fan;['TBD', 'TBD'];['TBD', 'TBD'];15
Flat screen;[236,676];['TBD', 'TBD'];30
Food processor;[43];['TBD', 'TBD'];15 à 30
Games console;[30.8, 102];['TBD', 'TBD'];20
Hair & beauty item;['TBD', 'TBD'];['TBD', 'TBD'];15
Hair dryer;['TBD', 'TBD'];['TBD', 'TBD'];15
Handheld entertainment device;[2,7];['TBD', 'TBD'];25
Headphones;['TBD', 'TBD'];['TBD', 'TBD'];
Hi-Fi integrated;[136'];['TBD', 'TBD'];20
Hi-Fi separates;[123];['TBD', 'TBD'];20
Iron;['TBD', 'TBD'];['TBD', 'TBD'];15
Kettle;[9.9];['TBD', 'TBD'];15
Lamp;['TBD', 'TBD'];['TBD', 'TBD'];
Laptop;[156, 349];[4000,6000];50
Large home electrical;['TBD', 'TBD'];['TBD', 'TBD'];25 à 50
Misc;['TBD', 'TBD'];['TBD', 'TBD'];
Mobile;[16, 74];[500, 1500];25
Musical instrument;['TBD', 'TBD'];['TBD', 'TBD'];15
PC Accessory;[222, 248];['TBD', 'TBD'];
Paper shredder;['TBD', 'TBD'];['TBD', 'TBD'];
Portable radio;[2,7];['TBD', 'TBD'];20
Power tool;[23.5, 31.7];['TBD', 'TBD'];20
Printer/scanner;[88,197];['TBD', 'TBD'];35
Projector;[145];['TBD', 'TBD'];30
Sewing machine;['TBD', 'TBD'];['TBD', 'TBD'];
Small home electrical;['TBD', 'TBD'];['TBD', 'TBD'];15
Small kitchen item;[21.7, 41.3];['TBD', 'TBD'];15
TV and gaming-related accessories;[45,153];['TBD', 'TBD'];
Tablet;[37,86];['TBD', 'TBD'];25
Toaster;['TBD', 'TBD'];['TBD', 'TBD'];15
Toy;['TBD', 'TBD'];['TBD', 'TBD'];
Vacuum;[47.3,52.4];['TBD', 'TBD'];20 à 40
Watch/clock;['TBD', 'TBD'];['TBD', 'TBD'];
